pid,fms_id,current_phase,current_phase_norm,agency_project_name,forecast_completion,job_open_for_charges
2774,P-6ORCAST,Close-out,close-out,Orchard Beach Nature Center Reconstruction,2024-05-06T00:00:00.000,true
2775,P-6MSHVAC,Construction,construction,Greenbelt Recreation Center and Queens Museum HVAC System Reconstruction,2025-07-14T00:00:00.000,true
2776,P-3RNDLGL,Close-out,close-out,Citywide Plumbing Utility Systems Reconstruction (CNYG-1418M),2024-10-14T00:00:00.000,true
2776,P-405JPSS,Close-out,close-out,Citywide Plumbing Utility Systems Reconstruction (CNYG-1418M),2024-10-14T00:00:00.000,true
2776,P-6CGDWTR,Close-out,close-out,Citywide Plumbing Utility Systems Reconstruction (CNYG-1418M),2024-10-14T00:00:00.000,true
2777,P-405RRGH,Close-out,close-out,Highland Park Ridgewood Reservoir Gatehouse 27 Reconstruction,2024-05-29T00:00:00.000,true
2778,NDF-HRPCS,Construction,construction,Harlem River Park Public Restroom Building Construction,2026-01-13T00:00:00.000,true
2779,P-405RRIV,Close-out,close-out,Ridgewood Reservoir Invasive Species Removal,2025-09-25T00:00:00.000,true
2781,NDF-GRANT,Close-out,close-out,Grant Park Construction,2026-03-12T00:00:00.000,true
2782,P-108WWST,Close-out,close-out,Washington's Walk Strong Street Playground Reconstruction,2025-05-19T00:00:00.000,true
2783,P-106QUAR,Close-out,close-out,Quarry Ballfields Synthetic Turf Field Construction,2025-03-27T00:00:00.000,true
2786,P-415CAND,Construction Procurement,construction procurement,Flushing Meadows Corona Park World's Fair Marina Pavilion Structures Reconstruction,2029-01-04T00:00:00.000,true
2790,P-201MCC2,Construction Procurement,construction procurement,McCarren Park Ballfield 3 Reconstruction,2029-02-25T00:00:00.000,true
2795,P-214UMMA,Construction,construction,Umma Park Reconstruction,2027-05-25T00:00:00.000,true
2796,GQGIKISE,Close-out,close-out,Kissena Park Green Infrastructure Construction,2025-01-24T00:00:00.000,true
2797,P-5GRNBRC,Close-out,close-out,Greenbelt Recreation Center Reconstruction,2024-05-23T00:00:00.000,true
2798,P-1YANK22,Close-out,close-out,Citywide Public Restroom Buildings and Buildings Reconstruction (CNYG-219M),2023-05-01T00:00:00.000,true
2800,P-415FSTF,Close-out,close-out,Flushing Meadows Corona Park Synthetic Turf Fields 8 & 9 Reconstruction,2024-09-10T00:00:00.000,true
2801,P-401SMST,Close-out,close-out,St. Michael's Playground Synthetic Turf Field Reconstruction,2024-06-26T00:00:00.000,true
2802,P-306STVA,Construction,construction,St. Vartan Park Playground Reconstruction,2027-03-15T00:00:00.000,true
2803,P-303TPSQ,Close-out,close-out,Tompkins Square Park Field House Reconstruction,2025-03-04T00:00:00.000,true
2805,P-3CPIHLP,Close-out,close-out,Percy E. Sutton Playground Reconstruction,2025-12-31T00:00:00.000,true
2806,P-503TOTT,Design,design,Tottenville Shoreline Protection Construction,2030-01-25T00:00:00.000,true
2809,P-104JRME,Close-out,close-out,Jerome Playground South Skate Park Construction,2023-09-18T00:00:00.000,true
2810,P-104GBLE,Close-out,close-out,Goble Playground Reconstruction,2025-06-09T00:00:00.000,true
2811,P-5FABBAS,Close-out,close-out,Faber Park Basketball Courts Construction,2025-06-30T00:00:00.000,true
2813,P-207RAIN,Close-out,close-out,Rainbow Playground Reconstruction,2023-10-05T00:00:00.000,true
2814,P-207OPML,Close-out,close-out,Ocean Parkway Malls Bike Path Reconstruction,2024-11-01T00:00:00.000,true
2815,P-400FMCP,Design,design,Flushing Meadows Corona Park Electrical Vault Reconstruction (Hurricane Sandy),2031-03-24T00:00:00.000,true
2815,SANDY4-29,Design,design,Flushing Meadows Corona Park Electrical Vault Reconstruction (Hurricane Sandy),2031-03-24T00:00:00.000,true
2816,P-401APFS,Close-out,close-out,Astoria Pool Filtration System Reconstruction,2024-06-25T00:00:00.000,true
2818,NDF-MKETT,Close-out,close-out,Monsignor Kett Playground Reconstruction,2023-07-12T00:00:00.000,true
2819,NDF-DYMAN,Close-out,close-out,Highbridge Park Dyckman Rest Reconstruction,2024-07-24T00:00:00.000,true
2820,NDF-IWOOD,Close-out,close-out,Inwood Hill Park Soccer Field 1 Reconstruction,2025-06-27T00:00:00.000,true
2821,P-304CBBC,Close-out,close-out,Chelsea Park Basketball Court Reconstruction,2023-06-22T00:00:00.000,true
2822,SANDY4-27,Construction Procurement,construction procurement,Little Bay Park Waterfront Reconstruction,2028-05-31T00:00:00.000,true
2823,P-500LEM2,Design,design,Lemon Creek Marina Waterfront Reconstruction,2028-07-21T00:00:00.000,true
2823,SANDY5-43,Design,design,Lemon Creek Marina Waterfront Reconstruction,2028-07-21T00:00:00.000,true
2825,ACEDPR251,Construction,construction,Citywide Sustainability and Energy-Efficiency Utility Systems Reconstruction (CNYG-319MA),2026-03-13T00:00:00.000,true
2825,ACEDPR252,Construction,construction,Citywide Sustainability and Energy-Efficiency Utility Systems Reconstruction (CNYG-319MA),2026-03-13T00:00:00.000,true
2825,P-6SUSTN1,Construction,construction,Citywide Sustainability and Energy-Efficiency Utility Systems Reconstruction (CNYG-319MA),2026-03-13T00:00:00.000,true
2827,P-308EPOA,Construction,construction,East River Esplanade Stabilization and Reconstruction Phase 2,2027-02-16T00:00:00.000,true
2827,P-308ERP2,Construction,construction,East River Esplanade Stabilization and Reconstruction Phase 2,2027-02-16T00:00:00.000,true
2828,P-306GLIC,Design,design,East River Esplanade East 36th-38th Streets Seawall Reconstruction,2027-08-24T00:00:00.000,true
2830,P-414THUR,Construction Procurement,construction procurement,Thursby Basin Park Construction,2029-01-25T00:00:00.000,true
2830,SANDY4-45,Construction Procurement,construction procurement,Thursby Basin Park Construction,2029-01-25T00:00:00.000,true
2831,P-1HVMRCS,Close-out,close-out,Havemeyer Playground Public Restroom Building Reconstruction,2024-01-08T00:00:00.000,true
2832,P-306ASLV,Construction Procurement,construction procurement,Asser Levy Recreation Center HVAC System Reconstruction (Hurricane Sandy),2028-10-19T00:00:00.000,true
2832,SANDY6-08,Construction Procurement,construction procurement,Asser Levy Recreation Center HVAC System Reconstruction (Hurricane Sandy),2028-10-19T00:00:00.000,true
2833,P-304CPTF,Close-out,close-out,Citywide Synthetic Turf Field Reconstruction (CNYG-1119MA),2024-09-03T00:00:00.000,true
2833,P-309ANUN,Close-out,close-out,Citywide Synthetic Turf Field Reconstruction (CNYG-1119MA),2024-09-03T00:00:00.000,true
2833,P-501CRPL,Close-out,close-out,Citywide Synthetic Turf Field Reconstruction (CNYG-1119MA),2024-09-03T00:00:00.000,true
2834,P-110PBSW,Design,design,Pelham Bay Park Seawall Reconstruction (Hurricane Sandy),2029-01-25T00:00:00.000,true
2834,SANDY1-11,Design,design,Pelham Bay Park Seawall Reconstruction (Hurricane Sandy),2029-01-25T00:00:00.000,true
2835,P-308ERP3,Construction,construction,East River Esplanade Stabilization and Reconstruction Phase 3,2028-04-11T00:00:00.000,true
2837,P-1WDLNCS,Construction,construction,Woodlawn Playground Public Restroom Building Reconstruction,2025-12-16T00:00:00.000,true
2838,P-3SHARCS,Close-out,close-out,Sheltering Arms Playground Public Restroom Building Reconstruction,2024-12-04T00:00:00.000,true
2839,NDF-MKECS,Close-out,close-out,Monsignor Kett Playground Public Restroom Building Construction,2025-06-30T00:00:00.000,true
2840,P-5ANCH02,Construction,construction,Freshkills South Park Synthetic Turf Fields and Landscape Construction,2028-07-25T00:00:00.000,true
2841,P-5ANCH03,Construction Procurement,construction procurement,Freshkills South Park Comfort Station Construction,2028-09-18T00:00:00.000,true
2842,P-3PL14A6,Construction Procurement,construction procurement,Ruppert Park Reconstruction,2028-09-03T00:00:00.000,true
2845,P-108TBTF,Construction,construction,Citywide Fencing Systems Reconstruction,2027-11-03T00:00:00.000,true
2845,P-109CHLL,Construction,construction,Citywide Fencing Systems Reconstruction,2027-11-03T00:00:00.000,true
2845,P-110LOCP,Construction,construction,Citywide Fencing Systems Reconstruction,2027-11-03T00:00:00.000,true
2845,P-111BXP1,Construction,construction,Citywide Fencing Systems Reconstruction,2027-11-03T00:00:00.000,true
2845,P-210SRPF,Construction,construction,Citywide Fencing Systems Reconstruction,2027-11-03T00:00:00.000,true
2845,P-218BKLN,Construction,construction,Citywide Fencing Systems Reconstruction,2027-11-03T00:00:00.000,true
2845,P-2FRNDFN,Construction,construction,Citywide Fencing Systems Reconstruction,2027-11-03T00:00:00.000,true
2845,P-305USPF,Construction,construction,Citywide Fencing Systems Reconstruction,2027-11-03T00:00:00.000,true
2845,P-3SOHAGS,Construction,construction,Citywide Fencing Systems Reconstruction,2027-11-03T00:00:00.000,true
2845,P-410SBGF,Construction,construction,Citywide Fencing Systems Reconstruction,2027-11-03T00:00:00.000,true
2845,P-410TUDO,Construction,construction,Citywide Fencing Systems Reconstruction,2027-11-03T00:00:00.000,true
2845,P-4FMCPML,Construction,construction,Citywide Fencing Systems Reconstruction,2027-11-03T00:00:00.000,true
2845,P-6FNCE01,Construction,construction,Citywide Fencing Systems Reconstruction,2027-11-03T00:00:00.000,true
2845,P-6STRUC2,Construction,construction,Citywide Fencing Systems Reconstruction,2027-11-03T00:00:00.000,true
2848,P-501LLCS,Close-out,close-out,Lopez Playground Modular Public Restroom Building Construction,2024-03-01T00:00:00.000,true
2849,P-2BKPAV1,Close-out,close-out,Brooklyn Pavement Reconstruction (BG-1019M),2024-03-29T00:00:00.000,true
2850,P-413READ,Close-out,close-out,Bellerose Playground Reading Garden Construction,2024-04-05T00:00:00.000,true
2851,P-1RNQRMP,Construction,construction,Ranaqua Maintenance and Operations Storehouse Ramp Reconstruction,2026-03-11T00:00:00.000,true
2852,P-309JRRC,Construction,construction,Jackie Robinson Recreation Center HVAC System Reconstruction,2025-10-06T00:00:00.000,true
2853,P-1CRTMAL,Close-out,close-out,Bronx Pavement Reconstruction (XG-419M),2025-06-30T00:00:00.000,true
2854,P-3RVPFWP,Close-out,close-out,Riverside Park Cherry Walk Greenway Reconstruction,2025-03-21T00:00:00.000,true
2855,P-3PAVRSP,Close-out,close-out,Riverside Park Path Pavement Reconstruction (MG-519M),2025-04-17T00:00:00.000,true
2855,P-3RIV105,Close-out,close-out,Riverside Park Path Pavement Reconstruction (MG-519M),2025-04-17T00:00:00.000,true
2855,P-3RIV110,Close-out,close-out,Riverside Park Path Pavement Reconstruction (MG-519M),2025-04-17T00:00:00.000,true
2856,P-3NRGF01,Construction,construction,Manhattan Reforestation FY20,2026-09-30T00:00:00.000,true
2857,P-6NRGF01,Construction,construction,Bronx and Queens Reforestation FY20,2027-09-22T00:00:00.000,true
2858,P-5BLOOMB,Close-out,close-out,Staten Island Pavement Reconstruction (RG-120M),2026-01-14T00:00:00.000,true
2858,P-5CLVLKP,Close-out,close-out,Staten Island Pavement Reconstruction (RG-120M),2026-01-14T00:00:00.000,true
2858,P-5SOBLPK,Close-out,close-out,Staten Island Pavement Reconstruction (RG-120M),2026-01-14T00:00:00.000,true
2858,P-6PAVESI,Close-out,close-out,Staten Island Pavement Reconstruction (RG-120M),2026-01-14T00:00:00.000,true
2859,P-4QSTORE,Construction,construction,Flushing Meadows Corona Park Queens Storehouse Reconstruction,2026-07-03T00:00:00.000,true
2862,P-3TREL21,Close-out,close-out,"Manhattan Street Tree Planting FY21 - Community Boards 1, 2, 4, 5, 7-12",2025-06-10T00:00:00.000,true
2863,P-4TREL21,Close-out,close-out,"Queens Street Tree Planting FY21 - Community Boards 8, 11-13",2024-10-23T00:00:00.000,true
2863,SEQ-TREES,Close-out,close-out,"Queens Street Tree Planting FY21 - Community Boards 8, 11-13",2024-10-23T00:00:00.000,true
2867,P-4JMMPP2,Design,design,Joe Michaels Mile Waterfront Structural Reconstruction (Hurricane Sandy),2029-03-24T00:00:00.000,true
2867,SANDY4-46,Design,design,Joe Michaels Mile Waterfront Structural Reconstruction (Hurricane Sandy),2029-03-24T00:00:00.000,true
2868,P-2BSKBL1,Close-out,close-out,Brooklyn Basketball Courts Reconstruction,2024-01-08T00:00:00.000,true
2869,P-215SPBK,Close-out,close-out,Brooklyn Multipurpose Play Areas Reconstruction,2023-11-29T00:00:00.000,true
2870,P-1HUNTPT,Construction,construction,Citywide Buildings Reconstruction (CNYG-420M),2025-09-03T00:00:00.000,true
2870,P-303ASRC,Construction,construction,Citywide Buildings Reconstruction (CNYG-420M),2025-09-03T00:00:00.000,true
2870,P-306ASEQ,Construction,construction,Citywide Buildings Reconstruction (CNYG-420M),2025-09-03T00:00:00.000,true
2870,P-311TJMP,Construction,construction,Citywide Buildings Reconstruction (CNYG-420M),2025-09-03T00:00:00.000,true
2870,P-3GERCTE,Construction,construction,Citywide Buildings Reconstruction (CNYG-420M),2025-09-03T00:00:00.000,true
2870,P-3PFRCRM,Construction,construction,Citywide Buildings Reconstruction (CNYG-420M),2025-09-03T00:00:00.000,true
2870,P-3REC54E,Construction,construction,Citywide Buildings Reconstruction (CNYG-420M),2025-09-03T00:00:00.000,true
2870,P-3TDCREC,Construction,construction,Citywide Buildings Reconstruction (CNYG-420M),2025-09-03T00:00:00.000,true
2871,P-5DONGAN,Close-out,close-out,Dongan Playground Reconstruction,2025-01-30T00:00:00.000,true
2873,P-402SOHN,Close-out,close-out,Sohncke Square Reconstruction,2024-07-10T00:00:00.000,true
2875,P-4CUN210,Close-out,close-out,Cunningham Park 210th Street Playground Reconstruction,2024-09-09T00:00:00.000,true
2876,P-4FRDJPU,Design,design,Frederick B. Judge Playground Reconstruction,2027-04-24T00:00:00.000,true
2877,P-4HCHAND,Close-out,close-out,Hallets Cove Playground Handball Court Reconstruction,2023-10-31T00:00:00.000,true
2878,P-4BRKVBB,Close-out,close-out,Brookville Park Baseball Fields Reconstruction,2025-06-04T00:00:00.000,true
2879,NDF-NMKE2,Construction,construction,Nameoke Park Public Restroom Building Construction,2026-06-30T00:00:00.000,true
2880,P-413LPCT,Close-out,close-out,Laurelton Playground Reconstruction,2025-03-17T00:00:00.000,true
2881,P-412DOP3,Design,design,Daniel O'Connell Playground Reconstruction,2028-12-23T00:00:00.000,true
2882,P-210JJCP,Close-out,close-out,John J. Carty Park Playground Reconstruction,2024-01-30T00:00:00.000,true
2883,P-218MPOV,Close-out,close-out,Marine Park Oval Path Reconstruction,2024-10-01T00:00:00.000,true
2884,P-2PPESIT,Close-out,close-out,Ocean Parkway Sitting Areas Reconstruction,2024-04-19T00:00:00.000,true
2885,P-210VINP,Close-out,close-out,Shore Park and Parkway Vinland Playground Reconstruction,2024-11-13T00:00:00.000,true
2887,P-205LIN1,Close-out,close-out,Linden Park Playground Reconstruction,2024-01-12T00:00:00.000,true
2888,P-3COLPCS,Design,design,Columbus Park Pavilion Reconstruction,2029-04-15T00:00:00.000,true
2889,P-3BENNSF,Close-out,close-out,Bennett Park Central Lawn Reconstruction,2024-11-12T00:00:00.000,true
2890,P-108WDLN,Construction,construction,Woodlawn Playground Reconstruction,2027-05-31T00:00:00.000,true
2891,P-3W185BC,Construction,construction,West 186th Street Basketball Court Reconstruction,2026-04-13T00:00:00.000,true
2892,LIC-CTSQP,Construction,construction,Court Square Park Reconstruction,2024-10-13T00:00:00.000,true
2893,LIC-QNBBP,Close-out,close-out,Queensbridge Baby Park Reconstruction,2026-03-17T00:00:00.000,true
2894,P-111FFBB,Construction Procurement,construction procurement,Frisch Field Reconstruction,2028-09-08T00:00:00.000,true
2896,P-4PHIPPS,Close-out,close-out,Lt. Michael R. Davidson Playground Construction,2026-03-16T00:00:00.000,true
2897,P-4ANCH05,Close-out,close-out,Astoria Park Great Lawn Pathways Reconstruction,2025-10-08T00:00:00.000,true
2898,P-216CHES,Construction Procurement,construction procurement,Chester Playground Reconstruction,2029-03-28T00:00:00.000,true
2899,P-210DOG,Close-out,close-out,Shore Park and Parkway Dog Run Construction,2023-08-29T00:00:00.000,true
2900,P-215MBTC,Close-out,close-out,Manhattan Beach Park Tennis Courts Reconstruction,2025-04-28T00:00:00.000,true
2901,P-5GBRCTF,Close-out,close-out,Greenbelt Recreation Center Synthetic Turf Field Reconstruction,2024-11-29T00:00:00.000,true
2902,P-1CROALG,Construction,construction,Crotona Park Indian Lake Shoreline Restoration,2025-08-31T00:00:00.000,true
2903,SANDY2-37,Design,design,John Malone Community Center Mechanical Systems Reconstruction (Hurricane Sandy),2026-03-27T00:00:00.000,true
2904,P-205LIN2,Design,design,Linden Park Multipurpose Play Area Reconstruction,2029-06-25T00:00:00.000,true
2908,P-4CPSLIT,Close-out,close-out,College Point Fields Sports and Security Lighting Construction,2028-07-28T00:00:00.000,true
2909,NDF-VHALL,Close-out,close-out,Tappen Park Village Hall Roof Reconstruction,2025-05-06T00:00:00.000,true
2910,IDA21-03,Construction,construction,Citywide Pavement Reconstruction (CNYG-1820M),2026-07-08T00:00:00.000,true
2910,P-409FPAP,Construction,construction,Citywide Pavement Reconstruction (CNYG-1820M),2026-07-08T00:00:00.000,true
2910,P-4CROCHP,Construction,construction,Citywide Pavement Reconstruction (CNYG-1820M),2026-07-08T00:00:00.000,true
2910,P-4FMAGDN,Construction,construction,Citywide Pavement Reconstruction (CNYG-1820M),2026-07-08T00:00:00.000,true
2910,P-4HILNDP,Construction,construction,Citywide Pavement Reconstruction (CNYG-1820M),2026-07-08T00:00:00.000,true
2910,P-4KSNAPK,Construction,construction,Citywide Pavement Reconstruction (CNYG-1820M),2026-07-08T00:00:00.000,true
2911,P-104CLMT,Close-out,close-out,Citywide Multipurpose Play Area and Sports Court Pavement Reconstruction (CNYG-1120M),2026-03-13T00:00:00.000,true
2911,P-1UNVPTH,Close-out,close-out,Citywide Multipurpose Play Area and Sports Court Pavement Reconstruction (CNYG-1120M),2026-03-13T00:00:00.000,true
2911,P-203CARV,Close-out,close-out,Citywide Multipurpose Play Area and Sports Court Pavement Reconstruction (CNYG-1120M),2026-03-13T00:00:00.000,true
2911,P-203JHPG,Close-out,close-out,Citywide Multipurpose Play Area and Sports Court Pavement Reconstruction (CNYG-1120M),2026-03-13T00:00:00.000,true
2911,P-304HELK,Close-out,close-out,Citywide Multipurpose Play Area and Sports Court Pavement Reconstruction (CNYG-1120M),2026-03-13T00:00:00.000,true
2911,P-310RNPG,Close-out,close-out,Citywide Multipurpose Play Area and Sports Court Pavement Reconstruction (CNYG-1120M),2026-03-13T00:00:00.000,true
2911,P-311P155,Close-out,close-out,Citywide Multipurpose Play Area and Sports Court Pavement Reconstruction (CNYG-1120M),2026-03-13T00:00:00.000,true
2911,P-3PAVTMK,Close-out,close-out,Citywide Multipurpose Play Area and Sports Court Pavement Reconstruction (CNYG-1120M),2026-03-13T00:00:00.000,true
2911,P-401DKPG,Close-out,close-out,Citywide Multipurpose Play Area and Sports Court Pavement Reconstruction (CNYG-1120M),2026-03-13T00:00:00.000,true
2911,P-401DMPG,Close-out,close-out,Citywide Multipurpose Play Area and Sports Court Pavement Reconstruction (CNYG-1120M),2026-03-13T00:00:00.000,true
2911,P-407PG21,Close-out,close-out,Citywide Multipurpose Play Area and Sports Court Pavement Reconstruction (CNYG-1120M),2026-03-13T00:00:00.000,true
2911,P-408HMSC,Close-out,close-out,Citywide Multipurpose Play Area and Sports Court Pavement Reconstruction (CNYG-1120M),2026-03-13T00:00:00.000,true
2911,P-412P157,Close-out,close-out,Citywide Multipurpose Play Area and Sports Court Pavement Reconstruction (CNYG-1120M),2026-03-13T00:00:00.000,true
2911,P-4SPRNGF,Close-out,close-out,Citywide Multipurpose Play Area and Sports Court Pavement Reconstruction (CNYG-1120M),2026-03-13T00:00:00.000,true
2912,P-205PPMT,Close-out,close-out,Public Place Monument Reconstruction,2025-05-21T00:00:00.000,true
2913,P-414BAY9,Construction,construction,Michaelis-Bayswater Park Reconstruction,2027-06-11T00:00:00.000,true
2913,SANDY4-48,Construction,construction,Michaelis-Bayswater Park Reconstruction,2027-06-11T00:00:00.000,true
2914,P-414BAY7,Design,design,Michaelis-Bayswater Park Maintenance and Operations Building Construction,2029-07-24T00:00:00.000,true
2914,SANDY4-49,Design,design,Michaelis-Bayswater Park Maintenance and Operations Building Construction,2029-07-24T00:00:00.000,true
2915,P-102RJPP,Close-out,close-out,Citywide Synthetic Turf Field Reconstruction (CNYG-1220M),2024-03-22T00:00:00.000,true
2915,P-1SERTRF,Close-out,close-out,Citywide Synthetic Turf Field Reconstruction (CNYG-1220M),2024-03-22T00:00:00.000,true
2915,P-202CPST,Close-out,close-out,Citywide Synthetic Turf Field Reconstruction (CNYG-1220M),2024-03-22T00:00:00.000,true
2915,P-205SBST,Close-out,close-out,Citywide Synthetic Turf Field Reconstruction (CNYG-1220M),2024-03-22T00:00:00.000,true
2915,P-2STFBSH,Close-out,close-out,Citywide Synthetic Turf Field Reconstruction (CNYG-1220M),2024-03-22T00:00:00.000,true
2915,P-2STFLEF,Close-out,close-out,Citywide Synthetic Turf Field Reconstruction (CNYG-1220M),2024-03-22T00:00:00.000,true
2915,P-3COLUBT,Close-out,close-out,Citywide Synthetic Turf Field Reconstruction (CNYG-1220M),2024-03-22T00:00:00.000,true
2915,P-3STFCRL,Close-out,close-out,Citywide Synthetic Turf Field Reconstruction (CNYG-1220M),2024-03-22T00:00:00.000,true
2915,P-412RCON,Close-out,close-out,Citywide Synthetic Turf Field Reconstruction (CNYG-1220M),2024-03-22T00:00:00.000,true
2915,P-4BIGSTF,Close-out,close-out,Citywide Synthetic Turf Field Reconstruction (CNYG-1220M),2024-03-22T00:00:00.000,true
2915,P-4STFCAR,Close-out,close-out,Citywide Synthetic Turf Field Reconstruction (CNYG-1220M),2024-03-22T00:00:00.000,true
2915,P-5STFMHN,Close-out,close-out,Citywide Synthetic Turf Field Reconstruction (CNYG-1220M),2024-03-22T00:00:00.000,true
2916,P-3RANDSC,Design,design,Randall's Island Sunken Garden Connector Pathway Construction,2029-10-10T00:00:00.000,true
2918,P-1POECOT,Close-out,close-out,Poe Cottage Roof Reconstruction,2025-03-10T00:00:00.000,true
2923,P-3DIRVPK,Construction,construction,Riverside Park Drainage System Reconstruction From 108th to 116th Street,2027-04-19T00:00:00.000,true
2924,P-218MPPG,Design,design,Marine Park PS 278 Playground Reconstruction,2029-04-12T00:00:00.000,true
2925,P-218CCMF,Close-out,close-out,Canarsie Park Public Restroom Building Construction,2024-10-01T00:00:00.000,true
2926,P-215KLCS,Close-out,close-out,Kelly Park Public Restroom Building Reconstruction,2024-07-31T00:00:00.000,true
2927,P-414BAY8,Construction,construction,Michaelis-Bayswater Park Public Restroom Building Construction,2027-03-14T00:00:00.000,true
2927,SANDY4-51,Construction,construction,Michaelis-Bayswater Park Public Restroom Building Construction,2027-03-14T00:00:00.000,true
2928,P-3TONYDL,(Cancelled),cancelled,Tony Dapolito Recreation Center Sidewalk Vault Reconstruction,2025-12-25T00:00:00.000,false
2929,P-6CWPLE1,Close-out,close-out,Citywide Pool Electrical Systems Reconstruction (CNYG-1520M),2023-04-20T00:00:00.000,true
2930,P-6CWPLG1,Close-out,close-out,Citywide Pool Structural Systems Reconstruction (CNYG-1720M),2023-05-19T00:00:00.000,true
2931,P-6DEERFE,Construction,construction,Staten Island and Bronx Deer Exclusion Fence Installation,2026-10-21T00:00:00.000,true
2932,P-4QNPAV1,Construction,construction,Queens Pavement Areas Reconstruction,2027-02-22T00:00:00.000,true
2933,P-407PWLL,Design,design,Powell's Cove Park Shoreline and Upland Area Restoration,2030-03-28T00:00:00.000,true
2934,P-303LFPG,Construction,construction,Little Flower Playground Reconstruction,2026-05-26T00:00:00.000,true
2935,P-6RPZBKQ,Close-out,close-out,Queens RPZ Installation and Plumbing Systems Reconstruction,2025-06-13T00:00:00.000,true
2937,P-110FLAG,Close-out,close-out,Ferry Point Park 9-11 Living Memorial Flagpole Construction,2025-01-06T00:00:00.000,true
2938,P-1SPACET,Construction,construction,Space Time Playground Synthetic Turf Field and Basketball Courts Construction,2026-08-24T00:00:00.000,true
2939,P-407TELE,Construction,construction,Citywide Telecommunication New Service Installation (CNYG-221M),2026-12-01T00:00:00.000,true
2939,P-6CWTEL1,Construction,construction,Citywide Telecommunication New Service Installation (CNYG-221M),2026-12-01T00:00:00.000,true
2940,P-201FROS,Close-out,close-out,Frost Playground Basketball Courts Reconstruction,2024-08-21T00:00:00.000,true
2941,P-201MDLT,Close-out,close-out,Sarah J.S. Tompkins Garnet Playground Basketball Courts Reconstruction,2024-07-31T00:00:00.000,true
2942,P-210RUPP,Close-out,close-out,Russell Pedersen Playground Reconstruction,2025-05-02T00:00:00.000,true
2943,P-210OWLH,Close-out,close-out,Owl's Head Park Basketball Courts and Playground Reconstruction,2026-03-23T00:00:00.000,true
2944,P-202GRPL,Close-out,close-out,Greene Playground Reconstruction,2025-06-26T00:00:00.000,true
2945,P-202CUGP,Close-out,close-out,Cuyler Gore Park Reconstruction,2025-11-10T00:00:00.000,true
2946,P-303KIML,Construction,construction,Kimlau Square Arch Reconstruction,2026-07-06T00:00:00.000,true
2947,P-306PETD,Close-out,close-out,Peter Detmold Park Water Service Reconstruction,2024-10-23T00:00:00.000,true
2948,P-404WMPG,Construction,construction,William F. Moore Park Reconstruction,2026-05-15T00:00:00.000,true
2949,P-4WOODPZ,Close-out,close-out,Woodside Memorial Plaza Reconstruction,2025-03-10T00:00:00.000,true
2950,P-404JCPI,Construction,construction,Josephine Caminiti Playground Reconstruction,2026-07-06T00:00:00.000,true
2951,P-4ELMPRK,Design,design,Helen Marshall Playground Synthetic Turf Field Construction,2028-12-24T00:00:00.000,true
2952,P-412KLWP,Construction Procurement,construction procurement,"Detective Keith L. Williams Park Track and Field, Tennis Courts and Playground Reconstruction",2028-05-28T00:00:00.000,true
2953,P-406HHPR,Close-out,close-out,Horace Harding Playground Reconstruction,2026-02-02T00:00:00.000,true
2954,P-407MNPW,Construction Procurement,construction procurement,MacNeil Park Waterfront Reconstruction,2028-11-29T00:00:00.000,true
2955,P-413CAMB,Construction Procurement,construction procurement,Cambria Playground Reconstruction,2028-11-16T00:00:00.000,true
2956,P-4MARFAJ,Construction,construction,Captain Mario Fajardo Park Playground and Sports Courts Reconstruction,2027-03-15T00:00:00.000,true
2957,P-412JAMP,Close-out,close-out,Jamaica Playground Multipurpose Play Area Reconstruction,2025-09-22T00:00:00.000,true
2958,P-412SRPC,Construction,construction,South Rochdale Playground Reconstruction,2026-06-15T00:00:00.000,true
2959,NDF-SOAQK,Design,design,Aqueduct Walk Reconstruction at West Burnside Avenue,2028-11-24T00:00:00.000,true
2960,P-303HMFS,Close-out,close-out,Hamilton Fish Park Playground Reconstruction,2026-01-12T00:00:00.000,true
2961,P-309AHAM,Close-out,close-out,Alexander Hamilton Playground Basketball Court Reconstruction,2025-09-29T00:00:00.000,true
2962,P-307SOLB,Close-out,close-out,Sol Bloom Playground Basketball Court Reconstruction,2024-08-15T00:00:00.000,true
2963,P-4UDALNP,Design,design,Udall's Park Preserve Forest Restoration,,true
2964,P-3MORNHR,Close-out,close-out,Morningside Park 113th Street Steps Handrails Construction,2025-01-14T00:00:00.000,true
2965,P-1ARAELV,Construction,construction,Citywide Services Shops Elevator Reconstruction,2026-09-21T00:00:00.000,true
2968,P-6CWR22D,Construction,construction,Citywide HVAC R22 Reconstruction,2025-01-13T00:00:00.000,true
2969,P-4GRST21,Construction,construction,Queens Medians Planting and Reconstruction,2026-07-16T00:00:00.000,true
2971,P-2GRST01,Design,design,Brooklyn Tree Planting and Greenstreets Construction,2028-11-26T00:00:00.000,true
2972,P-302BLEE,Construction,construction,Bleecker Playground Reconstruction,2026-08-03T00:00:00.000,true
2973,P-310MCCY,Close-out,close-out,William McCray Playground Reconstruction,2025-09-25T00:00:00.000,true
2974,P-503GCPG,Construction,construction,Greencroft Playground Reconstruction,2026-05-11T00:00:00.000,true
2975,P-4FTTOTP,Close-out,close-out,Fort Totten Park Commander's House Porches Reconstruction,2025-11-10T00:00:00.000,true
